college_name,city,state,nirf_rank,nirf_score,field,domain
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10,66.69,Engineering,"Technology/IT,Engineering"
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,10,63.05,Architecture and Planning,"Creative/Design,Engineering"
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,10,64.96,Law,Law
"Madras Medical College and Government General Hospital, Chennai",Chennai,Tamil Nadu,10,64.12,Medical,Healthcare
SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,10,69.94,Pharmacy,Healthcare
Indian Institute of Technology Bombay,Mumbai,Maharashtra,10,67.16,Management,Business/Finance
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,10,61.04,Agriculture and Allied Sectors,Agriculture
University of Agricultural Sciences,Bengaluru,Karnataka,11,59.13,Agriculture and Allied Sectors,Agriculture
Management Development Institute,Gurugram,Haryana,11,66.85,Management,Business/Finance
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11,68.9,Pharmacy,Healthcare
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,11,64.1,Medical,Healthcare
Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,Engineering,"Technology/IT,Engineering"
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11,61.83,Architecture and Planning,"Creative/Design,Engineering"
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,11,63.6,Law,Law
Indian Institute of Management Rohtak,Rohtak,Haryana,12,66.49,Management,Business/Finance
School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,12,61.75,Architecture and Planning,"Creative/Design,Engineering"
"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,12,56.8,Agriculture and Allied Sectors,Agriculture
Aligarh Muslim University,Aligarh,Uttar Pradesh,12,63.54,Law,Law
Jadavpur University,Kolkata,West Bengal,12,65.62,Engineering,"Technology/IT,Engineering"
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,12,63.72,Medical,Healthcare
National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,12,68.82,Pharmacy,Healthcare
Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,13,56.67,Agriculture and Allied Sectors,Agriculture
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala,13,63.68,Medical,Healthcare
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,13,68.07,Pharmacy,Healthcare
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,13,65.41,Engineering,"Technology/IT,Engineering"
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13,61.58,Law,Law
Chandigarh University,Mohali,Punjab,13,61.47,Architecture and Planning,"Creative/Design,Engineering"
Symbiosis Institute of Business Management,Pune,Maharashtra,13,65.13,Management,Business/Finance
All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,14,63.16,Medical,Healthcare
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,14,60.65,Law,Law
National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,14,65.53,Pharmacy,Healthcare
Indian Institute of Management Raipur,Raipur,Chhattisgarh,14,64.4,Management,Business/Finance
Aligarh Muslim University,Aligarh,Uttar Pradesh,14,61.01,Architecture and Planning,"Creative/Design,Engineering"
Anna University,Chennai,Tamil Nadu,14,65.34,Engineering,"Technology/IT,Engineering"
Assam Agricultural University,Jorhat,Assam,14,55.67,Agriculture and Allied Sectors,Agriculture
Christ University,Bengaluru,Karnataka,15,59.39,Law,Law
Indian Institute of Foreign Trade,New Delhi,Delhi,15,62.36,Management,Business/Finance
Odisha University of Agriculture and Technology,Khordha,Odisha,15,55.65,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,15,64.83,Engineering,"Technology/IT,Engineering"
National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,15,64.89,Pharmacy,Healthcare
Malaviya National Institute of Technology,Jaipur,Rajasthan,15,60.79,Architecture and Planning,"Creative/Design,Engineering"
All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,15,62.97,Medical,Healthcare
Kerala Agricultural University,Thrissur,Kerala,16,55.3,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology Indore,Indore,Madhya Pradesh,16,64.72,Engineering,"Technology/IT,Engineering"
All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,16,62.57,Medical,Healthcare
Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,16,64.73,Pharmacy,Healthcare
Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,16,58.75,Law,Law
Indian Institute of Technology Madras,Chennai,Tamil Nadu,16,61.73,Management,Business/Finance
Lovely Professional University,Phagwara,Punjab,16,64.73,Pharmacy,Healthcare
School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,16,60.4,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Management Ranchi,Ranchi,Jharkhand,17,61.27,Management,Business/Finance
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,17,58.68,Law,Law
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,17,60.39,Architecture and Planning,"Creative/Design,Engineering"
Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,17,62.36,Medical,Healthcare
"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,17,64.27,Engineering,"Technology/IT,Engineering"
Tamil Nadu Veterinary and Animal Sciences University,Chennai,Tamil Nadu,17,55.19,Agriculture and Allied Sectors,Agriculture
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,18,61.21,Management,Business/Finance
Jadavpur University,Kolkata,West Bengal,18,64.14,Pharmacy,Healthcare
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,18,63.42,Engineering,"Technology/IT,Engineering"
Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,18,54.67,Agriculture and Allied Sectors,Agriculture
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,18,62.0,Medical,Healthcare
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,18,58.4,Architecture and Planning,"Creative/Design,Engineering"
Alliance University,Bengaluru,Karnataka,18,56.72,Law,Law
King George`s Medical University,Lucknow,Uttar Pradesh,19,61.95,Medical,Healthcare
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,19,54.55,Agriculture and Allied Sectors,Agriculture
National Institute of Technology Rourkela,Rourkela,Odisha,19,63.38,Engineering,"Technology/IT,Engineering"
Chitkara University,Rajpura,Punjab,19,64.05,Pharmacy,Healthcare
Nirma University,Ahmedabad,Gujarat,19,57.69,Architecture and Planning,"Creative/Design,Engineering"
Lovely Professional University,Phagwara,Punjab,19,56.71,Law,Law
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,19,61.03,Management,Business/Finance
S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,20,60.97,Management,Business/Finance
Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,20,55.92,Law,Law
Birla Institute of Technology,Ranchi,Jharkhand,20,57.21,Architecture and Planning,"Creative/Design,Engineering"
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,20,63.04,Engineering,"Technology/IT,Engineering"
Chandigarh University,Mohali,Punjab,20,64.01,Pharmacy,Healthcare
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,20,61.62,Medical,Healthcare
Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu,Jammu and Kashmir,20,53.91,Agriculture and Allied Sectors,Agriculture
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,21,57.01,Architecture and Planning,"Creative/Design,Engineering"
Siksha `O` Anusandhan,Bhubaneswar,Odisha,21,61.28,Medical,Healthcare
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,21,61.78,Pharmacy,Healthcare
"National Institute of Food Technology, Enterprenurship and Management",Sonipat,Haryana,21,52.37,Agriculture and Allied Sectors,Agriculture
National Institute of Technology Warangal,Warangal,Telangana,21,61.72,Engineering,"Technology/IT,Engineering"
"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,21,55.64,Law,Law
SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,21,60.96,Management,Business/Finance
Indian Institute of Management Udaipur,Udaipur,Rajasthan,22,60.93,Management,Business/Finance
Lovely Professional University,Phagwara,Punjab,22,51.01,Agriculture and Allied Sectors,Agriculture
Amity University,Gautam Budh Nagar,Uttar Pradesh,22,61.07,Pharmacy,Healthcare
Institute of Post Graduate Medical Education and Research,Kolkata,West Bengal,22,60.47,Medical,Healthcare
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,22,56.31,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Technology Ropar,Rupnagar,Punjab,22,61.56,Engineering,"Technology/IT,Engineering"
National University of Study and Research in Law,Ranchi,Jharkhand,22,55.52,Law,Law
Central University of Punjab,Bathinda,Punjab,23,60.92,Pharmacy,Healthcare
Anand Agricultural University,Anand,Gujarat,23,50.69,Agriculture and Allied Sectors,Agriculture
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23,61.29,Engineering,"Technology/IT,Engineering"
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,23,60.14,Medical,Healthcare
Indian Institute of Management Kashipur,Kashipur,Uttarakhand,23,60.82,Management,Business/Finance
BMS College of Architecture,Bengaluru,Karnataka,23,56.04,Architecture and Planning,"Creative/Design,Engineering"
University of Lucknow, Lucknow,Uttar Pradesh,23,55.05,Law,Law
Indian Institute of Management Shillong,Shillong,Meghalaya,24,60.49,Management,Business/Finance
Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana,Punjab,24,50.52,Agriculture and Allied Sectors,Agriculture
The Rajiv Gandhi National University of Law,Patiala,Punjab,24,54.7,Law,Law
University of Agricultural Sciences,Dharwad,Karnataka,24,50.52,Agriculture and Allied Sectors,Agriculture
Jamia Millia Islamia,New Delhi,Delhi,24,61.28,Engineering,"Technology/IT,Engineering"
National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,24,58.76,Pharmacy,Healthcare
Lovely Professional University,Phagwara,Punjab,24,55.86,Architecture and Planning,"Creative/Design,Engineering"
Maulana Azad Medical College,Delhi,Delhi,24,59.63,Medical,Healthcare
National Institute of Technology Calicut,Kozhikode,Kerala,25,61.19,Engineering,"Technology/IT,Engineering"
I. S. F. College of Pharmacy,Moga,Punjab,25,58.27,Pharmacy,Healthcare
Jamia Millia Islamia,New Delhi,Delhi,25,60.32,Management,Business/Finance
Banaras Hindu University,Varanasi,Uttar Pradesh,25,54.54,Law,Law
Thiagarajar College of Engineering,Madurai,Tamil Nadu,25,54.71,Architecture and Planning,"Creative/Design,Engineering"
Amity University,North Twenty Four Parganas,West Bengal,25,54.71,Architecture and Planning,"Creative/Design,Engineering"
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,25,59.6,Medical,Healthcare
All India Institute of Medical Sciences Patna,Patna,Bihar,26,58.24,Medical,Healthcare
"National Law University, Cuttack",Cuttack,Odisha,26,54.49,Law,Law
Siksha `O` Anusandhan,Bhubaneswar,Odisha,26,60.97,Engineering,"Technology/IT,Engineering"
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,26,58.24,Pharmacy,Healthcare
Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,26,59.2,Management,Business/Finance
Acharya N G Ranga Agricultural University,Guntur,Andhra Pradesh,26,50.24,Agriculture and Allied Sectors,Agriculture
Annamalai University,Annamalainagar,Tamil Nadu,27,58.19,Pharmacy,Healthcare
National Institute of Technology Patna,Patna,Bihar,27,54.19,Architecture and Planning,"Creative/Design,Engineering"
Annamalai University,Annamalainagar,Tamil Nadu,27,49.92,Agriculture and Allied Sectors,Agriculture
Delhi Technological University,New Delhi,Delhi,27,60.78,Engineering,"Technology/IT,Engineering"
National Law University and Judicial Academy,Kamrup,Assam,27,53.39,Law,Law
Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,27,57.67,Management,Business/Finance
Aligarh Muslim University,Aligarh,Uttar Pradesh,27,58.07,Medical,Healthcare
"Manipal School of Architecture and Planning, MAHE",Udupi,Karnataka,28,53.21,Architecture and Planning,"Creative/Design,Engineering"
Banasthali Vidyapith,Banasthali,Rajasthan,28,57.77,Pharmacy,Healthcare
St. John's Medical College,Bengaluru,Karnataka,28,58.03,Medical,Healthcare
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,28,57.4,Management,Business/Finance
UPES,Dehradun,Uttarakhand,28,52.92,Law,Law
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,28,60.61,Engineering,"Technology/IT,Engineering"
West Bengal University of Animal and Fishery Sciences,Kolkata,West Bengal,28,48.3,Agriculture and Allied Sectors,Agriculture
Dr Rajendra Prasad Central Agricultural University,Samastipur,Bihar,29,47.94,Agriculture and Allied Sectors,Agriculture
