college_name,city,state,nirf_rank,nirf_score,field,domain
Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,West Bengal,40,44.05,Agriculture and Allied Sectors,Agriculture
UPES,Dehradun,Uttarakhand,41,54.82,Management,Business/Finance
PSG Institute of Medical Sciences and Research,Coimbatore,Tamil Nadu,41,53.11,Medical,Healthcare
N.G.S.M. Institute of Pharmaceutical Sciences,Mangaluru,Karnataka,41,53.35,Pharmacy,Healthcare
Institute of Chemical Technology,Mumbai,Maharashtra,41,56.93,Engineering,"Technology/IT,Engineering"
"Government Medical College, Thiruvananthapuram",Thiruvananthapuram,Kerala,42,52.3,Medical,Healthcare
"Indian Institute of Management Jammu (IIMJ)
",Jammu,Jammu and Kashmir,42,54.64,Management,Business/Finance
UPES,Dehradun,Uttarakhand,42,56.65,Engineering,"Technology/IT,Engineering"
"KLE College of Pharmacy, Belgaum",Belgaum,Karnataka,42,52.66,Pharmacy,Healthcare
Dibrugarh University,Dibrugarh,Assam,43,52.16,Pharmacy,Healthcare
Sawai Man Singh Medical College,Jaipur,Rajasthan,43,51.91,Medical,Healthcare
XIM University,Bhubaneswar,Odisha,43,54.49,Management,Business/Finance
Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,Engineering,"Technology/IT,Engineering"
National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,Engineering,"Technology/IT,Engineering"
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,44,51.93,Pharmacy,Healthcare
Medical College,Kolkata,West Bengal,44,51.87,Medical,Healthcare
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,44,53.26,Management,Business/Finance
Jaipuria Institute of Management,Noida,Uttar Pradesh,45,53.23,Management,Business/Finance
Gujarat Cancer and Research Institute,Ahmadabad,Gujarat,45,51.77,Medical,Healthcare
National Institute of Technology Delhi,Delhi,Delhi,45,55.67,Engineering,"Technology/IT,Engineering"
Integral University,Lucknow,Uttar Pradesh,45,51.44,Pharmacy,Healthcare
M. S. Ramaiah Medical College,Bengaluru,Karnataka,46,51.76,Medical,Healthcare
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,46,52.78,Management,Business/Finance
Punjabi University,Patiala,Punjab,46,51.33,Pharmacy,Healthcare
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,Engineering,"Technology/IT,Engineering"
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,54.29,Engineering,"Technology/IT,Engineering"
Parul University,Vadodara,Gujarat,47,51.3,Pharmacy,Healthcare
Indian Institute of Management Amritsar,Amritsar,Punjab,47,52.57,Management,Business/Finance
Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,47,51.02,Medical,Healthcare
Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,48,51.03,Pharmacy,Healthcare
Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,Engineering,"Technology/IT,Engineering"
Osmania Medical College,HYDERABAD ,Telangana,48,50.99,Medical,Healthcare
Banaras Hindu University,Varanasi,Uttar Pradesh,48,52.26,Management,Business/Finance
Institute of Rural Management Anand (IRMA),Anand,Gujarat,49,51.54,Management,Business/Finance
Christian Medical College,Ludhiana,Punjab,49,50.96,Medical,Healthcare
Suresh Gyan Vihar University,Jaipur,Rajasthan,49,50.81,Pharmacy,Healthcare
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49,54.17,Engineering,"Technology/IT,Engineering"
Lovely Professional University,Phagwara,Punjab,50,54.16,Engineering,"Technology/IT,Engineering"
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,50,50.73,Pharmacy,Healthcare
Pandit Bhagwat Dayal Sharma University of Health Sciences,Rohtak,Haryana,50,50.71,Medical,Healthcare
Indian Institute of Management Sambalpur,Sambalpur,Odisha,50,51.47,Management,Business/Finance
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51,51.4,Management,Business/Finance
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,51,50.22,Pharmacy,Healthcare
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,Engineering,"Technology/IT,Engineering"
L. M. College of Pharmacy,Ahmedabad,Gujarat,52,50.02,Pharmacy,Healthcare
Graphic Era University,Dehradun,Uttarakhand,52,52.96,Engineering,"Technology/IT,Engineering"
Great Lakes Institute of Management,Gurgaon,Haryana,52,51.35,Management,Business/Finance
Fore School of Management,New Delhi,Delhi,53,51.08,Management,Business/Finance
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,Engineering,"Technology/IT,Engineering"
G. L. A. University,Mathura,Uttar Pradesh,53,49.74,Pharmacy,Healthcare
Guru Ghasidas Vishwavidyalaya,BILASPUR (Chhattisgarh),Chhattisgarh,54,49.65,Pharmacy,Healthcare
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,Engineering,"Technology/IT,Engineering"
Chitkara University,Rajpura,Punjab,54,51.02,Management,Business/Finance
Nirma University,Ahmedabad,Gujarat,55,51.01,Management,Business/Finance
National Institute of Technology Patna,Patna,Bihar,55,52.28,Engineering,"Technology/IT,Engineering"
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,55,48.98,Pharmacy,Healthcare
R. C. Patel Institute of Pharmaceutical Education and Research,Shirpur,Maharashtra,56,48.75,Pharmacy,Healthcare
Manipal Institute of Technology,Manipal,Karnataka,56,52.12,Engineering,"Technology/IT,Engineering"
"International Management Institute, Kolkata",Kolkata,West Bengal,56,50.97,Management,Business/Finance
Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,57,50.92,Management,Business/Finance
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,57,51.52,Engineering,"Technology/IT,Engineering"
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College,Bela,Punjab,57,48.51,Pharmacy,Healthcare
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,Engineering,"Technology/IT,Engineering"
PSG College of Pharmacy,Coimbatore,Tamil Nadu,58,48.08,Pharmacy,Healthcare
"T. A. Pai Management Institute, Manipal",Manipal,Karnataka,58,50.78,Management,Business/Finance
Graphic Era University,Dehradun,Uttarakhand,59,50.59,Management,Business/Finance
Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,59,51.04,Engineering,"Technology/IT,Engineering"
Mohan Lal Sukhadia University,Udaipur,Rajasthan,59,47.03,Pharmacy,Healthcare
Sri Padmavathi Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,60,46.63,Pharmacy,Healthcare
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,Engineering,"Technology/IT,Engineering"
Christ University,Bengaluru,Karnataka,60,50.56,Management,Business/Finance
Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,61,50.58,Engineering,"Technology/IT,Engineering"
Smt. Kishoritai Bhoyar College of Pharmacy,Nagpur,Maharashtra,61,46.37,Pharmacy,Healthcare
"International Management Institute, Bhubaneswar",Bhubaneswar,Odisha,61,50.38,Management,Business/Finance
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,62,50.53,Engineering,"Technology/IT,Engineering"
"Kumaun University, Nainital",Nainital,Uttarakhand,62,46.34,Pharmacy,Healthcare
Siksha `O` Anusandhan,Bhubaneswar,Odisha,62,49.69,Management,Business/Finance
Defence Institute of Advanced Technology,Pune,Maharashtra,63,50.37,Engineering,"Technology/IT,Engineering"
Acharya Nagarjuna University College of Pharmaceutical Sciences,Guntur,Andhra Pradesh,63,46.1,Pharmacy,Healthcare
K J Somaiya Institute of Management Studies and Research,Mumbai,Maharashtra,63,49.66,Management,Business/Finance
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,64,46.0,Pharmacy,Healthcare
Indian Institute of Technology Palakkad,Palakkad,Kerala,64,50.24,Engineering,"Technology/IT,Engineering"
"Manipal University, Jaipur",Jaipur,Rajasthan,64,50.24,Engineering,"Technology/IT,Engineering"
Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,64,49.44,Management,Business/Finance
Nandha College of Pharmacy,Erode,Tamil Nadu,65,45.5,Pharmacy,Healthcare
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,65,49.4,Management,Business/Finance
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,66,50.05,Engineering,"Technology/IT,Engineering"
Chandigarh College of Pharmacy,Landran,Punjab,66,45.3,Pharmacy,Healthcare
Loyola Institute of Business Administration,Chennai,Tamil Nadu,66,49.26,Management,Business/Finance
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,67,49.24,Management,Business/Finance
Krishna Vishwa Vidyapeeth,Karad,Maharashtra,67,45.13,Pharmacy,Healthcare
PSG College of Technology,Coimbatore,Tamil Nadu,67,49.92,Engineering,"Technology/IT,Engineering"
Malaviya National Institute of Technology,Jaipur,Rajasthan,68,49.14,Management,Business/Finance
M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,68,45.02,Pharmacy,Healthcare
National Institute of Technology Meghalaya,Shillong,Meghalaya,68,49.82,Engineering,"Technology/IT,Engineering"
Visvesvaraya Technological University,Belgaum,Karnataka,69,49.8,Engineering,"Technology/IT,Engineering"
Sharda University,Greater Noida,Uttar Pradesh,69,44.75,Pharmacy,Healthcare
Anna University,Chennai,Tamil Nadu,69,48.92,Management,Business/Finance
Aligarh Muslim University,Aligarh,Uttar Pradesh,70,48.68,Management,Business/Finance
University of Hyderabad,Hyderabad,Telangana,70,49.3,Engineering,"Technology/IT,Engineering"
Gujarat Technological University,Ahmedabad,Gujarat,70,44.33,Pharmacy,Healthcare
National Institute of Technology Raipur,Raipur,Chhattisgarh,71,48.88,Engineering,"Technology/IT,Engineering"
Anurag University,Hyderabad,Telangana,71,44.22,Pharmacy,Healthcare
Alliance University,Bengaluru,Karnataka,71,48.38,Management,Business/Finance
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,72,43.74,Pharmacy,Healthcare
"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,72,48.32,Management,Business/Finance
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,72,48.86,Engineering,"Technology/IT,Engineering"
Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,73,48.8,Engineering,"Technology/IT,Engineering"
"Manipal University, Jaipur",Jaipur,Rajasthan,73,48.1,Management,Business/Finance
Bombay College of Pharmacy,Mumbai,Maharashtra,73,43.72,Pharmacy,Healthcare
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,74,47.92,Management,Business/Finance
Bundelkhand University,Jhansi ,Uttar Pradesh,74,43.66,Pharmacy,Healthcare
Guru Nanak Institute of Pharmaceutical Science and Technology,Kolkata,West Bengal,74,43.66,Pharmacy,Healthcare
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,74,48.61,Engineering,"Technology/IT,Engineering"
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75,48.33,Engineering,"Technology/IT,Engineering"
Jaipuria Institute of Management,Jaipur,Rajasthan,75,47.56,Management,Business/Finance
National Institute of Technology Calicut,Kozhikode,Kerala,76,47.55,Management,Business/Finance
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,76,48.22,Engineering,"Technology/IT,Engineering"
Y. B. Chavan College of Pharmacy,Aurangabad,Maharashtra,76,43.49,Pharmacy,Healthcare
KIET Group of Institutions: KIET Group of Pharmacy,Ghaziabad,Uttar Pradesh,77,43.42,Pharmacy,Healthcare
COEP Technological University,Pune,Maharashtra,77,47.89,Engineering,"Technology/IT,Engineering"
"Jain University, Bangalore",Bengaluru,Karnataka,77,47.47,Management,Business/Finance
"College of Pharmacy, Madras Medical College",Chennai,Tamil Nadu,78,43.36,Pharmacy,Healthcare
Banasthali Vidyapith,Banasthali,Rajasthan,78,47.86,Engineering,"Technology/IT,Engineering"
Jamia Hamdard,New Delhi,Delhi,78,47.39,Management,Business/Finance
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,79,47.27,Management,Business/Finance
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,79,47.76,Engineering,"Technology/IT,Engineering"
Sri Venkateswara College of Pharmacy,Chittoor,Andhra Pradesh,79,42.77,Pharmacy,Healthcare
PSG College of Technology,Coimbatore,Tamil Nadu,80,47.13,Management,Business/Finance
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,80,47.43,Engineering,"Technology/IT,Engineering"
Bharati Vidyapeeth College of Pharmacy,Kolhapur,Maharashtra,80,42.5,Pharmacy,Healthcare
DIT University,Dehradun,Uttarakhand,81,42.48,Pharmacy,Healthcare
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,81,46.79,Engineering,"Technology/IT,Engineering"
Cochin University of Science and Technology,Cochin,Kerala,81,47.08,Management,Business/Finance
Arulmigu Kalasalingam College of Pharmacy,Srivilliputtur,Tamil Nadu,82,41.58,Pharmacy,Healthcare
National Institute of Technology Agartala,Agratala,Tripura,82,46.69,Engineering,"Technology/IT,Engineering"
Thiagarajar School of Management,Madurai,Tamil Nadu,82,47.02,Management,Business/Finance
BML Munjal University,Gurgaon,Haryana,83,46.67,Management,Business/Finance
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,83,46.53,Engineering,"Technology/IT,Engineering"
Sri Adichunchanagiri College of Pharmacy,B G Nagar,Karnataka,83,41.54,Pharmacy,Healthcare
Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,84,46.53,Management,Business/Finance
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,84,46.39,Engineering,"Technology/IT,Engineering"
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,84,41.48,Pharmacy,Healthcare
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Prayagraj,Uttar Pradesh,85,41.45,Pharmacy,Healthcare
Indraprastha Institute of Information Technology,New Delhi,Delhi,85,46.32,Engineering,"Technology/IT,Engineering"
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,85,46.47,Management,Business/Finance
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,86,46.42,Management,Business/Finance
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,86,46.23,Engineering,"Technology/IT,Engineering"
Acharya & B M Reddy College of Pharmacy,Bengaluru,Karnataka,86,41.35,Pharmacy,Healthcare
Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,87,46.38,Management,Business/Finance
Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,87,45.84,Engineering,"Technology/IT,Engineering"
Vishnu Institute of Pharmaceutical Education and Research,Narsapur,Telangana,87,41.19,Pharmacy,Healthcare
New Delhi Institute of Management,Delhi,Delhi,88,46.29,Management,Business/Finance
Jawaharlal Nehru Technological University,Hyderabad,Telangana,88,45.78,Engineering,"Technology/IT,Engineering"
Kakatiya University,"Hanamkonda, Warangal",Telangana,88,41.15,Pharmacy,Healthcare
Vinayaka Mission's Research Foundation,Salem,Tamil Nadu,89,41.01,Pharmacy,Healthcare
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,89,45.64,Engineering,"Technology/IT,Engineering"
Pandit Deendayal Energy University,Gandhinagar,Gujarat,89,45.39,Management,Business/Finance
Ramanbhai Patel College of Pharmacy,Anand,Gujarat,90,40.9,Pharmacy,Healthcare
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,90,45.6,Engineering,"Technology/IT,Engineering"
Birla Institute of Technology,Ranchi,Jharkhand,90,45.0,Management,Business/Finance
"Uka Tarsadia University, Bardoli",Bardoli,Gujarat,91,40.87,Pharmacy,Healthcare
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,91,45.43,Engineering,"Technology/IT,Engineering"
National Institute of Bank Management,Pune,Maharashtra,91,44.85,Management,Business/Finance
Panjab University,Chandigarh,Chandigarh,92,44.7,Management,Business/Finance
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92,45.4,Engineering,"Technology/IT,Engineering"
Shri Vishnu College of Pharmacy,Bhimavaram,Andhra Pradesh,92,40.72,Pharmacy,Healthcare
Goa College of Pharmacy,Panaji,Goa,93,40.69,Pharmacy,Healthcare
Christ University,Bengaluru,Karnataka,93,45.02,Engineering,"Technology/IT,Engineering"
Rajagiri Business School,Cochin,Kerala,93,44.33,Management,Business/Finance
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,Durgapur,West Bengal,94,40.67,Pharmacy,Healthcare
Chitkara University,Rajpura,Punjab,94,44.82,Engineering,"Technology/IT,Engineering"
Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,94,44.17,Management,Business/Finance
Tezpur University,Tezpur,Assam,95,43.48,Management,Business/Finance
"Jain University, Bangalore",Bengaluru,Karnataka,95,44.61,Engineering,"Technology/IT,Engineering"
CMR College of Pharmacy,Rangareddy,Telangana,95,40.51,Pharmacy,Healthcare
National Institute of Agricultural Extension Management,Hyderabad,Telangana,96,43.17,Management,Business/Finance
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,96,44.55,Engineering,"Technology/IT,Engineering"
P. E. Society`s Modern College of Pharmacy,Pune,Maharashtra,96,40.3,Pharmacy,Healthcare
Principal K.M. Kundnani College of Pharmacy,Mumbai,Maharashtra,97,40.23,Pharmacy,Healthcare
National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,Engineering,"Technology/IT,Engineering"
Institute of Management Technology,Hyderabad,Telangana,97,43.01,Management,Business/Finance
Krupanidhi College of Pharmacy,Bengaluru,Karnataka,98,40.1,Pharmacy,Healthcare
SR University,Warangal,Telangana,98,44.29,Engineering,"Technology/IT,Engineering"
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,98,42.9,Management,Business/Finance
Krea University,Sri City,Andhra Pradesh,99,42.82,Management,Business/Finance
R.V. College of Engineering,Bengaluru,Karnataka,99,44.26,Engineering,"Technology/IT,Engineering"
AISSMS College of Pharmacy,Pune,Maharashtra,99,39.97,Pharmacy,Healthcare
National Institute of Technology Warangal,Warangal,Telangana,100,42.63,Management,Business/Finance
Siddaganga Institute of Technology,Tumkur,Karnataka,100,43.95,Engineering,"Technology/IT,Engineering"
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Rohtak,Haryana,100,39.54,Pharmacy,Healthcare
